Date,ret_sandp,ret_ford,USTB3M,ersandp,erford
2002-01-01,,,0.14416666666666667,,
2002-02-01,-2.098488667516772,-2.742107290307507,0.14583333333333334,-2.2443220008501057,-2.8879406236408407
2002-03-01,3.6080076252758406,10.249459762662898,0.1475,3.4605076252758407,10.101959762662897
2002-04-01,-6.3384682784413515,-2.9964788701936396,0.14833333333333334,-6.486801611774685,-3.144812203526973
2002-05-01,-0.9122942297125956,10.391460391092073,0.1475,-1.0597942297125955,10.243960391092072
2002-06-01,-7.521434327590615,-9.784938440782993,0.14583333333333334,-7.667267660923948,-9.930771774116327
2002-07-01,-8.229987183789905,-16.478907803231404,0.14333333333333334,-8.373320517123238,-16.62224113656474
2002-08-01,0.48695443903156654,-13.429562651727862,0.14083333333333334,0.3461211056982332,-13.570395985061195
2002-09-01,-11.656116844786665,-18.29333647053603,0.13666666666666666,-11.792783511453331,-18.430003137202696
2002-10-01,8.291442102875715,-13.615767444570693,0.13166666666666668,8.159775436209049,-13.747434111237359
2002-11-01,5.550058467611222,29.745186404758595,0.125,5.425058467611222,29.620186404758595
2002-12-01,-6.222927712987544,-20.252426411147407,0.10166666666666667,-6.324594379654211,-20.354093077814074
2003-01-01,-2.7797493671422964,-1.0256500167189109,0.10166666666666667,-2.881416033808963,-1.1273166833855774
2003-02-01,-1.7149844258839788,-9.029699365109128,0.09749999999999999,-1.8124844258839787,-9.127199365109128
2003-03-01,0.8322874252829663,-10.082606961145741,0.09749999999999999,0.7347874252829663,-10.180106961145741
2003-04-01,7.792735002947674,32.36874936844109,0.09333333333333334,7.69940166961434,32.27541603510775
2003-05-01,4.964566548928772,2.011240978709547,0.09416666666666666,4.870399882262106,1.9170743120428804
2003-06-01,1.125862601085219,4.5413208659701905,0.08916666666666667,1.0366959344185525,4.452154199303524
2003-07-01,1.609350647877368,1.5731839918414066,0.07333333333333333,1.5360173145440348,1.4998506585080733
2003-08-01,1.7715343790636198,4.377289128138209,0.08083333333333333,1.6907010457302865,4.296455794804875
2003-09-01,-1.2016232567985654,-7.120077096298743,0.08083333333333333,-1.2824565901318987,-7.200910429632077
2003-10-01,5.350426846494651,12.736267251319708,0.07916666666666666,5.271260179827984,12.65710058465304
2003-11-01,0.7103225356045156,8.481184743043867,0.08,0.6303225356045157,8.401184743043867
2003-12-01,4.951889930647121,19.22204971046841,0.07833333333333332,4.8735565973137875,19.14371637713508
2004-01-01,1.712888226296721,-8.954524444027273,0.0775,1.6353882262967212,-9.032024444027273
2004-02-01,1.2135100829125884,-5.536913526747455,0.07833333333333332,1.135176749579255,-5.615246860080788
2004-03-01,-1.6494220669989048,-1.328923211868254,0.08,-1.7294220669989049,-1.408923211868254
2004-04-01,-1.6933393494544096,12.997155219888047,0.07916666666666666,-1.7725060161210762,12.91798855322138
2004-05-01,1.201102420556437,-3.3597784966176554,0.08416666666666667,1.1169357538897702,-3.443945163284322
2004-06-01,1.7829189249312503,5.250743932346889,0.09833333333333333,1.6845855915979169,5.152410599013556
2004-07-01,-3.4892238215330362,-5.478794202219404,0.11,-3.599223821533036,-5.588794202219404
2004-08-01,0.2284720571713859,-4.196419909903219,0.12333333333333334,0.10513872383805258,-4.319753243236552
2004-09-01,0.9320336802206484,-0.4773278752657771,0.13416666666666668,0.7978670135539817,-0.6114945419324438
2004-10-01,1.391695587821374,-6.762675105590793,0.14333333333333334,1.2483622544880406,-6.906008438924126
2004-11-01,3.786877946113301,8.423448745556852,0.16583333333333333,3.6210446127799676,8.257615412223519
2004-12-01,3.194249119319211,3.241024415075454,0.18500000000000003,3.009249119319211,3.056024415075454
2005-01-01,-2.561574796851591,-9.804740779073366,0.19333333333333333,-2.7549081301849245,-9.9980741124067
2005-02-01,1.8726934874337724,-4.015917682317664,0.20833333333333334,1.6643601541004391,-4.224251015650997
2005-03-01,-1.930275225452871,-11.050790720081254,0.22916666666666666,-2.1594418921195375,-11.27995738674792
2005-04-01,-2.031351934767037,-20.69654850777028,0.235,-2.266351934767037,-20.93154850777028
2005-05-01,2.9512223385105796,9.03988466032946,0.24,2.71122233851058,8.79988466032946
2005-06-01,-0.014268747689802155,2.5919377552074714,0.24916666666666668,-0.26343541435646883,2.342771088540805
2005-07-01,3.533645186472915,5.698071503894779,0.26166666666666666,3.271978519806248,5.436404837228112
2005-08-01,-1.1285467972359156,-7.418544048857869,0.29,-1.4185467972359156,-7.708544048857869
2005-09-01,0.6924907426858922,-1.0905233482262582,0.2925,0.3999907426858922,-1.3830233482262582
2005-10-01,-1.789999431377393,-15.762894420358304,0.30083333333333334,-2.0908327647107265,-16.063727753691637
2005-11-01,3.4581237676988605,-2.337768800906237,0.33,3.1281237676988605,-2.667768800906237
2005-12-01,-0.09528500142413687,-5.122413570292111,0.33083333333333337,-0.42611833475747024,-5.453246903625445
2006-01-01,2.514796123051826,11.73218873890459,0.3491666666666667,2.1656294563851595,11.383022072237923
2006-02-01,0.04529940641520396,-7.401336029878604,0.37333333333333335,-0.3280339269181294,-7.774669363211937
2006-03-01,1.1034733969458945,-0.13253812410685709,0.385,0.7184733969458945,-0.5175381241068571
2006-04-01,1.2082373675144376,-12.260232209233239,0.38999999999999996,0.8182373675144377,-12.65023220923324
2006-05-01,-3.1404913585891703,3.099879201772004,0.40166666666666667,-3.542158025255837,2.698212535105337
2006-06-01,0.008660428539180606,-3.249916739295447,0.4033333333333333,-0.39467290479415273,-3.65325007262878
2006-07-01,0.5072924191958309,-3.203935374461666,0.4191666666666667,0.08812575252916421,-3.623102041128333
